0,1
https://www.bharattemples.com/radhakrishna-temple-port-blair/,"Radhakrishna Temple is situated in the Shadipur, Port Blair, Andaman and Nicobar Islands, India. Thousands of bhakts (devotees) and pilgrims visits Radhakrishna Temple every month.Radha Krishna are collectively known within Hinduism as the combination of both the feminine as well as the masculine aspects of God. Krishna is often referred as Svayam Bhagavan in Vaishnavism theology and Radha is five elemental body of the feeling of love towards the almighty God Shree Krishna, soul (aatma) is a part of the God Shree Krishna and Radha is that feeling of love which connects a living being to his creator. With Krishna, Radha is acknowledged as the Supreme Goddess, for it is said that she controls Krishna. It is believed that Krishna enchants the world, but Radha “enchants even Him. Therefore She is the supreme goddess of all. Radha Krishna”

"
https://www.bharattemples.com/shiva-temple-port-blair/,"Shiva is one of the principal deities of Hinduism. He is the Supreme Being within Shaivism, one of the major traditions within contemporary Hinduism.Shiva is known as the “destroyer and the transformer” within the Trimurti, the Hindu trinity that includes Brahma and Vishnu. In Shaivism tradition, Shiva is the Supreme being who creates, protects and transforms the universe. In the tradition of Hinduism called Shaktism, the Goddess, or Devi, is described as supreme, yet Shiva is revered along with Vishnu and Brahma. A goddess is stated to be the energy and creative power (Shakti) of each, with Parvati (Sati) the equal complementary partner of Shiva. He is one of the five equivalent deities in Panchayatana puja of the Smarta tradition of Hinduism.

"
https://www.bharattemples.com/hanuman-temple-port-blair/,"Sri Veer Hanuman Temple is located at Port Blair city belongs to South Andaman district in Andaman and Nicobar Islands union territory of India. Andaman and Nicobar Islands, one of the seven union territories of India, are a group of islands at the juncture of Bay of Bengal and Andaman Sea. Port Blair is the capital of Andaman and Nicobar Islands. This famous Veer Hanuman Temple is situated on MG Road, Aberdeen Bazar in the city.
Aberdeen Bazar, Rajiv Gandhi Nagar, Port Blair, Andaman and Nicobar Islands 744101

"
https://www.bharattemples.com/sri-vertimalai-murugan-temple-port-blair/,"Situated in the heart of the capital city,Port Blair, is an ancient Murugan temple. It is situated right behind the Governors residence (Raj Niwas). The grandeur of this temple makes it a must see attraction. The temple is called Vetrimalai Murugan Temple and it is the most well known place of worship on the island. There is another Murugan temple in this place. It is located along the Car Nicobar coastline and is called the Malaka Murugan temple.The main deity here is lord Muruga. Besides, there are shrines for other Gods and Goddesses like Ganpathi, Lord Shiva and Parvati.
Shadipur, Port Blair, Andaman and Nicobar Islands 744106

"
https://www.bharattemples.com/somarama-temple-godavari/,"Somarama is one of the five Pancharama Kshetras that are sacred to the Hindu god Shiva. The temple is located in Bhimavaram of West Godavari district in the Indian state of Andhra Pradesh.It is one of the centrally protected monuments of national importance.
This temple is an old but looks like a new one because of paintings on the walls and sculptures.
At the front of the temple is a lotus covered pond called Chandrakundam, and there is a large Gopuram at the temple entrance. In the left side of temple there is a big hall in which temples of Lord Srirama and Hanuma are present.
On the right side of temple there is an open hall above the temple office. When a crowd is present, pujaris/pandits conduct puja here for individuals. The temple has many sculptures. In the hall of temple there is a big statue of Nandi. After crossing hall there is a room in front of sanctum. In that room there is a temple of Annapurn​_a mata
 

"
https://www.bharattemples.com/maddi-anjaneya-temple-godavari/,"Sri Maddi Anjaneya Swamy Temple is an ancient holy temple and a popular pilgrim center in Andhra Pradesh of South India. This temple is 51 km from Eluru, the headquarters of West Godavari District [Jangareddygudem]
Guravaigudem, West Godavari, Jangareddy Gudem, Andhra Pradesh 534447
088212 26494

"
https://www.bharattemples.com/kotasattemma-temple-godavari/,"Kotasattemma Temple is a Hindu pilgrimage center in Nidadavolu of West Godavari district in the Indian state of Andhra Pradesh
During Chalukya period, Kotasattemma temple was constructed by Chalukya Veerabadhra, the spouse of Rudrama Devi. The idol of Kotasattemma was immersed by several calamities during the Reddy dynasty. In 1934, the idol was found by Devulapalli Rama Murthy Sastri in his land and later he constructed the temple.
Nidadavolu, West Godavari, Andhra Pradesh 534301
088132 21517

"
https://www.bharattemples.com/sri-sampath-vinayagar-temple-visakhapatnam/,"Sri Sampath Vinayagar is the prominent deity of Visakhapatnam locals. The temple is located in Asilmetta of Visakhapatnam city.
This temple was built in 1962 by T.S. Rajeshwaran and T.S. Selvaganesan later it comes under Endowments Department of Andhara Pradesh. Local people still believe that Indo-Pakistani War of 1971 this temple saved city from attack of PNS Ghazi and sank that submarine in the coast of Visakhapatnam.
10-1-33 Waltair Appliance, road, Visakhapatnam, Andhra Pradesh 530003
 089127 55650

"
https://www.bharattemples.com/nookalamma-temple-visakhapatnam/,"Nookallamma (or Nookambika) is a local deity or Gramadevata popular in Andhra Pradesh State of India.
The temple houses the goddess Nookambika. Appalaraju built this temple to Kakatambika, a family goddess. She would later be called Nookambika or Nookalamma. On “Kottha Amavasya“, a day before Ugadi, thousands of people from throughout Andhra Pradesh come to the temple for worship

"
https://www.bharattemples.com/kanaka-maha-lakshmi-temple-visakhapatnam/,"Sri Kanaka Maha Lakshmi is the presiding deity of Visakhapatnam locals. The temple is located in Burujupeta of Visakhapatnam city.
own Kotha Rd, Burujupeta, Chengal Rao Peta, Port Area, Visakhapatnam, Andhra Pradesh 530001
089125 66515
 

"
https://www.bharattemples.com/iskcon-temple-visakhapatnam/,"ISKCON Visakhapatnam Temple is the upcoming temple on Sagar Nagar in Visakhapatnam, India. Temple construction started in 2005, the day of Akshaya Tritiya at sagar Nagar 

"
https://www.bharattemples.com/devipuram-visakhapatnam/,"Devipuram is a Hindu temple complex located near Visakhapatnam, Andhra Pradesh, India. Belonging primarily to the Shakta school of Hinduism, it is dedicated to the goddess Sahasrakshi (lit., “she who has a infinite eyes“, a form of Lalita Tripurasundari or Parvati), and her consort Kameshwara
Via Ammulapalem P.O, Anakapalle, Andhra Pradesh 531001
 094408 45333

"
https://www.bharattemples.com/ramalingeswara-swamy-temple-prakasam/,"Ramalingeswara Swamy Temple, located in Santharavuru, Prakasam district, Andhra Pradesh is dedicated to the deity Ramalingeswara (the Hindu god Shiva). The temple dates back to the Chola period (12th century AD). According to The Hindu the temple administrators claim that the temple has a bell that reverberates 108 times when struck once,and that there are only two such bells the other being at Kashi
 Andhra Pradesh 523301
 

"
https://www.bharattemples.com/gangamma-temple-prakasam/,"Goddess Gangamma Temple is in the outskirts of Dhenuva Konda, Garlapadu village in Prakasam District of Andhra Pradesh, India. Sunday is preferable day to offer pooja in the temple.
Goddess Gangamma is a powerful figure to the Yadava community. They celebrate Jatara for her on the full moon in April. During Jatara, the temple is decorated with a huge set of lighting. Devotees visit and pray to the goddess for the whole day and night of that full moon day.
 

"
https://www.bharattemples.com/beeramgunta-poleramma-temple-nellore/,"Beeramgunta Poleramma Temple is a re-established 200 years-old temple in the Nellore district of Andhra Pradesh, sacred to the goddess Poleramma. Poleramma is a pre-Vedic deity, who is predominantly worshipped in Andhra Pradesh, and a local form of Sakti. She is worshipped as Grama devata (goddess who protects the village).
The new temple was established in the center of the village, although Poleramma is a coast goddess whose temples are usually established at the outskirts of villages. This is also observed in various other places in Andhra Pradesh including Allur.
Unnamed Road, Beeramgunta, Andhra Pradesh 524315
099162 25620

"
https://www.bharattemples.com/aretamma-temple-nellore/,"The Aretamma Temple (also known as Arvetamma) is a Hindu temple in Veguru Village, Kovur Mandal, Nellore, Andhra Pradesh, India.
Aretamma is worshiped as Grama devata (Goddess who protects Veguru village). She was born in a brahamana house. When counting rice one stone found in rice bag the stone called Aretamma. One day she said to him bramhana person build my temple in this village to place me on that temple.
The temple was reconstructed in 2007 and that time did the thiranalu of aretamma in 3 days grandly. Again after 7 long years did the aretamma thiranalu in 14 June 2015 successfully.
Veguru Sivalayam St, Veguru, Andhra Pradesh 524137
 

"
https://www.bharattemples.com/swayambhu-sri-abhista-gnana-ganapathi-temple-kurnool/,"Swayambhu Sri Abhista Gnana Ganapathi Temple is a Swayambhu (Self anifested) anapathi temple in Kurnool, known as SSAGG temple located in Kurnool district of he Indian state of Andhra Pradesh.

"
https://www.bharattemples.com/sangameswara-temple-kurnool/,"The Sangameswara temple is a Hindu temple in the Kurnool district, Andhra Pradesh, India. It is located near Muchumarri at the confluence of the Krishna and Bhavanasi rivers, in the foreshore of the Srisailam reservoir where it is submerged for part of the time, surfacing when the water level recedes to a sufficient degree.It was first submerged after the Srisailam Dam was constructed in 1981, and first surfaced in 2003
The temple’s wooden Lingam, Sangameswaram, is believed to have been installed by Dharmaraja, the eldest of the Pandavas, after their visit to Srisailam Mallikarjuna temple.The temple is considered a place of religious sanctity due to being built at the confluence of seven rivers and remain visible for two months. (Bhavanasi, Krishna River and five rivers that merge into it beforehand, namely, Veni, Tunga, Bhadra, Bheemarathi and Malapaharini).
Sangameshwaram,, Nandikotkur, Andhra Pradesh

"
https://www.bharattemples.com/koulutla-chenna-kesava-temple-kurnool/,"Koulutla Chenna Kesava Temple is located in a reserved forest of Kappatralla, 50 km from district Kurnool District headquarters. The great Vijayanagara King, Sri Krishna Deva Raya, constructed a temple complex for the deity. Along with Koulutla Chena Kesava Temple there are additional Shiva temples in this shrine.
Kappatralla village, DevanaKonda Mandal,Kurnool District,Andhra Pradesh,India, Andhra Pradesh

"
https://www.bharattemples.com/peddintlamma-temple-krishna/,"Peddintlamma Temple is a Hindu pilgrimage center. It is located on the shores of Kolleru Lake in Kolletikota of Krishna district in Andhra Pradesh. During the 13th century, the temple was constructed by Eastern Ganga Dynasty Army General under the reign of a Suryavansha Vadiya king, Langula Narasimhadeva (Langula Gajapathi Raju) of Eastern Ganga Dynasty.


"
https://www.bharattemples.com/paritala-anjaneya-temple-krishna/,"Paritala Anjaneya Temple is a temple residing statue of Lord Hanuman. The statue is the tallest one dedicated to Lord Hanuman in the world.It is located in the village of Paritala on NH-9, approximately 30 km from the city of Vijayawada, in the Indian state of Andhra Pradesh. The statue was installed in the year 2003 and stands 135 feet (41 metres) tall.
The statue is taller than Christ the Redeemer statue in Rio de Janeiro, Brazil (38 m, including 8 m pedestal) and attracts many devotees, both foreign and domestic.
The tallest Lord Hanuman statue outside India is at Carapichaima, Trinidad and Tobago, which is 85 ft tall.
Paritala, mandal, Kanchikacherla, Andhra Pradesh 521180

"
